"diplome_r","Delai_r","sexe_r","StatutP_r","StatutM_r","Conseil_r","Diff2_r","Exppro_r","Abs1_r","Abs2_r"
"Aucun","Facile","Femme","ouvrir","employe","aucun","Plutot dificile",0,0,26
"CAP","Dificile","Femme","employe","employe","aucun","Plutot dificile",0,12,NA
"BAC","Facile","Homme","ouvrir","ouvrir","un","Plutot facile",0,0,31
"Aucun","Facile","Homme","agric","ouvrir","aucun","Plutot facile",2,2,2
"BAC","Facile","Femme","ouvrir","employe","aucun","Plutot facile",6,0,24
"BAC","Dificile","Femme","artis-commerc","employe","aucun","Plutot facile",0,48,NA
"CAP","Facile","Femme","artis-commerc","agric","aucun","Plutot facile",3,0,0
"BAC","Facile","Homme","artis-commerc","ouvrir","plusieurs","Plutot facile",3,0,54
"BAC+2","Dificile","Homme","employe","employe","un","Plutot dificile",3,4,64
"CAP","Dificile","Homme","artis-commerc","employe","aucun","Plutot facile",1,2,40
"BAC","Facile","Homme","agric","ouvrir","plusieurs","Plutot facile",0,2,54
"BAC","Facile","Homme","artis-commerc","agric","aucun","Plutot facile",0,13,60
"BAC","Facile","Femme","ouvrir","ouvrir","un","Plutot facile",0,3,60
"BAC","Facile","Homme","ouvrir","employe","un","Plutot facile",0,2,41
"Aucun","Dificile","Femme","employe","employe","plusieurs","Tres dificile",0,14,22
"CAP","Facile","Homme","NSP","employe","un","Plutot facile",3,5,NA
"CAP","Facile","Homme","employe","NSP","aucun","Plutot facile",0,0,32
"Aucun","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Plutot facile",1,9,62
"Aucun","Dificile","Homme","prof_interm","prof_interm","aucun","Plutot facile",1,13,NA
"BAC","Facile","Femme","ouvrir","employe","un","Plutot facile",2,0,42
"BAC+2","Facile","Homme","employe","NSP","un","Plutot facile",1,3,22
"BAC+2","Facile","Femme","employe","employe","aucun","Plutot facile",0,9,42
"BAC","Facile","Homme","agric","employe","aucun","Plutot facile",0,3,3
"CAP","Dificile","Femme","ouvrir","employe","aucun","Plutot dificile",2,2,NA
"BAC","Dificile","Femme","artis-commerc","employe","aucun","Plutot facile",5,5,34
"CAP","Facile","Homme","NSP","employe","aucun","Plutot facile",1,2,NA
"BAC","Facile","Femme","NSP","employe","un","Plutot dificile",2,2,62
"BAC","Facile","Homme","prof_interm","ouvrir","aucun","Plutot facile",4,0,0
"CAP","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",0,0,78
"BAC","Facile","Femme","ing-cadre-prof_lib","artis-commerc","un","Plutot dificile",3,0,3
"BAC","Facile","Femme","employe","employe","aucun","Plutot dificile",2,14,25
"Aucun","Dificile","Homme","ouvrir","ouvrir","aucun","Tres dificile",1,NA,NA
"CAP","Facile","Femme","ouvrir","ouvrir","aucun","Plutot facile",3,2,38
"BAC","Dificile","Femme","ing-cadre-prof_lib","employe","plusieurs","Plutot dificile",5,18,18
"BAC","Dificile","Femme","ing-cadre-prof_lib",NA,"aucun","Plutot facile",4,13,21
"CAP","Facile","Femme",NA,"employe","aucun","Plutot facile",0,1,6
"CAP","Dificile","Femme","prof_interm","employe","aucun","Tres dificile",1,8,72
"BAC","Facile","Homme","agric","ing-cadre-prof_lib","aucun","Plutot facile",0,0,6
"BAC","Facile","Homme","artis-commerc","agric","un","Plutot dificile",3,0,16
"BAC","Facile","Femme","ouvrir","ouvrir","aucun","Plutot facile",0,0,30
"CAP","Dificile","Femme","employe","artis-commerc","aucun","Tres dificile",1,1,25
"BAC","Facile","Femme","employe","employe","un","Plutot dificile",1,0,NA
"CAP","Facile","Femme","NSP","employe","aucun","Plutot facile",2,11,16
"CAP","Dificile","Femme","ouvrir","ouvrir","un","Tres dificile",0,NA,NA
"CAP","Facile","Homme","prof_interm","prof_interm","aucun","Plutot facile",0,0,24
"BAC","Facile","Homme","ouvrir","ouvrir","aucun","Plutot dificile",2,0,20
"CAP","Facile","Femme","ouvrir","prof_interm","aucun","Plutot dificile",0,1,NA
"BAC+2","Facile","Homme","NSP","artis-commerc","aucun","Plutot dificile",5,0,37
"BAC+2","Facile","Homme","employe","employe","un","Plutot facile",NA,2,8
"BAC","Facile","Homme","artis-commerc","ing-cadre-prof_lib","aucun","Plutot facile",NA,0,0
"BAC","Facile","Homme","employe","employe","aucun","Plutot dificile",NA,3,24
"Aucun","Dificile","Homme","prof_interm","prof_interm","aucun","Plutot dificile",NA,14,NA
"CAP","Dificile","Femme","employe",NA,"aucun","Plutot dificile",1,5,30
"BAC","Dificile","Femme","employe",NA,"aucun","Plutot dificile",2,0,NA
"CAP","Facile","Homme","agric","employe","aucun","Tres facile",2,0,22
"Aucun","Facile","Femme","employe","employe","aucun","Plutot facile",2,4,39
"BAC+2","Facile","Homme","agric","ing-cadre-prof_lib","un","Tres facile",1,0,15
"BAC+2","Facile","Femme","ouvrir","employe","un","Plutot facile",0,2,NA
"BAC+2","Facile","Femme","prof_interm","employe","aucun","Plutot dificile",0,15,43
"BAC+2","Facile","Homme","ouvrir","ouvrir","un","Tres facile",1,0,15
"CAP","Dificile","Femme","agric","ouvrir","aucun","Plutot dificile",2,24,NA
"BAC+2","Facile","Homme","ouvrir","employe","aucun","Plutot dificile",1,3,NA
"BAC+2","Facile","Homme","agric","ing-cadre-prof_lib","un","Plutot facile",3,2,24
"BAC","Facile","Homme","agric","agric","aucun","Plutot facile",4,2,57
"CAP","Dificile","Femme","ouvrir","ouvrir","aucun","Plutot dificile",2,3,39
"Aucun","Facile","Homme","ouvrir","employe","aucun","Plutot dificile",2,0,NA
"BAC+2","Facile","Homme","agric","employe","aucun","Plutot facile",0,2,6
"BAC","Facile","Femme","agric","agric","aucun","Plutot facile",3,2,53
"BAC","Facile","Homme","employe","ouvrir","un","Plutot facile",0,0,37
"BAC+2","Facile","Homme","employe","employe","aucun","Plutot dificile",2,5,23
"BAC+2","Facile","Homme","ouvrir","employe","aucun","Plutot facile",3,5,19
"BAC","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",3,0,NA
"Aucun","Dificile","Femme",NA,NA,"aucun","Tres dificile",0,26,26
"BAC","Facile","Femme","ouvrir","ouvrir","un","Plutot facile",6,2,64
"CAP","Facile","Femme","NSP",NA,"aucun","Plutot facile",0,3,71
"BAC","Facile","Homme","employe","employe","aucun","Plutot facile",2,3,26
"BAC+2","Facile","Femme","employe","employe","aucun","Plutot facile",0,2,48
"Aucun","Dificile","Femme","employe",NA,"aucun","Plutot dificile",0,17,NA
"CAP","Facile","Homme","ouvrir","employe","aucun","Plutot facile",1,8,NA
"BAC+2","Facile","Femme","prof_interm","prof_interm","aucun","Plutot facile",1,5,78
"BAC+2","Facile","Homme","ouvrir","ouvrir","plusieurs","Plutot facile",2,2,16
"CAP","Dificile","Homme",NA,NA,"aucun","Plutot facile",0,13,55
"BAC+2","Facile","Homme","agric","employe","aucun","Tres facile",2,0,0
